,Problem #,Language,Model Exe Time,KS Distance - All,KS Score - All,KS Exe Time - All,KS Distance - SS,KS Score - SS,KS Exe Time - SS,KL Divergence,KL Exe Time,dims
9,4,pymc_model,1.4294729232788086,0.1046293675899505,0.999999999879322,0.5121679306030273,0.0972557365894317,0.999999999879322,0.5013217926025391,0.0248048629267564,0.0011188983917236,1
14,5,stan_model,0.1376011371612548,0.1989030539989471,0.3942920508834251,0.8997640609741211,0.1895562410354614,0.556753052618788,0.843066930770874,0.3540573376066055,0.0019741058349609,1
13,5,pyro_model,1.1475880146026611,0.1989030539989471,0.3927198134927773,0.8892488479614258,0.1895562410354614,0.3927198134927773,0.8697431087493896,0.3634971269320222,0.0010759830474853,1
12,5,pymc_model,1.1645371913909912,0.1989030539989471,0.3943932794667488,1.1069886684417725,0.192574918270111,0.7268356397002034,0.7856900691986084,0.3517966005987155,0.0013360977172851,1
15,6,pymc_model,1.4047071933746338,0.0999960899353027,0.9999999999999896,0.4738590717315674,0.0934330224990844,0.9999999999999896,0.4642009735107422,0.077002009247432,0.001453161239624,1
17,6,stan_model,0.1401610374450683,0.0999960899353027,0.9999999999999896,0.6597428321838379,0.0999960899353027,0.9999999999999896,0.4806277751922607,0.0783580790894541,0.0012300014495849,1
16,6,pyro_model,1.3122408390045166,0.1063995361328125,0.999999999876798,0.5095601081848145,0.0915533900260925,0.9999999999999898,0.4623780250549316,0.0845637335564752,0.000939130783081,1
19,7,pyro_model,1.2679531574249268,0.112766146659851,0.9999998788333092,0.6143121719360352,0.1046706438064575,0.9999999998700296,0.5187399387359619,0.0407771980796086,0.0011160373687744,1
20,7,stan_model,0.1482961177825927,0.1119332313537597,0.9999998779305715,0.5606222152709961,0.1067074239253997,1.0,0.3806498050689697,0.0373307759889586,0.0008630752563476,1
18,7,pymc_model,1.4430861473083496,0.112766146659851,0.9999998784191398,0.5526828765869141,0.1072469651699066,0.9999998784191398,0.5480320453643799,0.0415158670875033,0.0020499229431152,1
21,8,pymc_model,2.4461140632629395,0.098775565624237,0.9999999999999888,0.4728879928588867,0.0793158113956451,0.9999999999999888,0.4488990306854248,0.4065045509314547,0.0019237995147705,1
22,8,pyro_model,3.990635871887207,0.0989032983779907,0.9999999999999868,0.4833920001983642,0.0907631814479827,1.0,0.5306408405303955,0.4132426181627144,0.001645803451538,1
23,8,stan_model,0.1953990459442138,0.098775565624237,0.999999999999989,0.7561759948730469,0.098775565624237,0.999999999999989,0.6335630416870117,0.4050795535780442,0.0022890567779541,1
24,9,pymc_model,2.503945827484131,0.0640246868133544,1.0,0.3576610088348388,0.0640246868133544,1.0,0.2956998348236084,0.4299547615887489,0.0013680458068847,1
25,9,pyro_model,3.49645471572876,0.0640246868133544,1.0,0.3636329174041748,0.0640246868133544,1.0,0.2931780815124511,0.4312090305579237,0.0011398792266845,1
26,9,stan_model,0.1770858764648437,0.0640246868133544,1.0,0.3926069736480713,0.0522632300853729,1.0,0.2933399677276611,0.4285696870211771,0.00146484375,1
0,10,pymc_model,3.2462899684906006,0.1096510887145996,0.999999999909736,0.5246758460998535,0.1010534912347793,0.999999999909736,0.5011739730834961,0.4973789225503363,0.0024561882019042,1
2,10,stan_model,0.6849710941314697,0.1096510887145996,0.9999999999206222,0.5152633190155029,0.109427809715271,0.9999999999206222,0.5016870498657227,0.5040009337466318,0.0011680126190185,1
1,10,pyro_model,4.033433198928833,0.1096510887145996,0.9999999999217084,0.5163018703460693,0.1046637296676635,1.0,0.4118919372558594,0.5001927799539019,0.0012729167938232,1
5,11,stan_model,0.2057921886444091,0.0794586539268493,1.0,0.4017031192779541,0.0737163126468658,1.0,0.3838210105895996,0.4545455356083356,0.001270055770874,1
4,11,pyro_model,3.788965940475464,0.0794586539268493,1.0,0.4104349613189697,0.0643193870782852,1.0,0.4104530811309814,0.4587634895808813,0.0013000965118408,1
3,11,pymc_model,2.364784002304077,0.0794586539268493,1.0,0.3978288173675537,0.0607898235321044,1.0,0.3977489471435547,0.4494642916967482,0.0016958713531494,1
8,12,stan_model,0.2855260372161865,0.0672504007816314,1.0,0.3542170524597168,0.0626182556152343,1.0,0.2917649745941162,0.3173740071959542,0.0011680126190185,1
7,12,pyro_model,4.099475860595703,0.0668432712554931,1.0,0.3558461666107178,0.0606514811515808,1.0,0.249741792678833,0.3202463893816891,0.0011489391326904,1
6,12,pymc_model,2.5053720474243164,0.0676399767398834,1.0,0.4081358909606933,0.0603494048118591,1.0,0.3401079177856445,0.3184651831929414,0.0015931129455566,1
27,13,pymc_model,2.331063985824585,0.064634621143341,1.0,0.3636889457702636,0.0569522976875305,1.0,0.2978289127349853,0.3124176711643452,0.001702070236206,2
28,13,pyro_model,4.03040623664856,0.0648040175437927,1.0,0.3626601696014404,0.0443560481071472,1.0,0.2985973358154297,0.3156365258466378,0.0012381076812744,2
29,13,stan_model,0.1554298400878906,0.0647178590297699,1.0,0.3587219715118408,0.0447452589869499,1.0,0.2607653141021728,0.3145072204738128,0.0012061595916748,2
32,14,stan_model,0.4220771789550781,0.1689822971820831,0.9603556420394476,1.5880351066589355,0.1303117275238037,0.9603556420394476,1.5499849319458008,0.0052056704635195,0.0010509490966796,2
31,14,pyro_model,3.522603988647461,0.1689822971820831,0.9603948528456414,1.494621992111206,0.1100253462791442,0.9999999999802748,1.100311040878296,0.0053932310046318,0.0010409355163574,2
30,14,pymc_model,2.1583518981933594,0.1689822971820831,0.9602940210487992,1.507065773010254,0.1503447592258453,0.9999999999999996,1.0045907497406006,0.0051718082735452,0.0011031627655029,2
33,15,pymc_model,2.200248956680298,0.1230778992176055,0.9999999557197168,1.2099342346191406,0.1045724153518676,0.9999999557197168,1.1747992038726809,0.0038351657807223,0.0010948181152343,2
34,15,pyro_model,3.1142897605895996,0.1190527379512786,0.9999999999798912,1.1064839363098145,0.0645660310983657,0.9999999999798912,1.1040987968444824,0.0037191087957213,0.000972032546997,2
35,15,stan_model,0.7330470085144043,0.1208859384059906,0.9999999550074584,1.185082197189331,0.0918920934200286,0.9999999999800568,1.1550099849700928,0.0037952416524063,0.0009768009185791,2
36,16,pymc_model,2.423288106918335,0.1221779882907867,0.9997092134439256,15.205325841903688,0.0939623117446899,0.9999999987476776,8.79263424873352,8.680767582220545e-08,0.004918098449707,5
37,16,pyro_model,4.113374948501587,0.1233977377414703,0.9997060255564396,15.121479034423828,0.1054557412862777,1.0,7.758866310119629,9.060767190769009e-08,0.0017998218536376,5
38,16,stan_model,1.0316033363342283,0.1220469772815704,0.9997092396130516,15.039392948150637,0.0937732309103012,0.9997092396130516,10.149734258651732,8.723934825060492e-08,0.001882791519165,5
39,17,pymc_model,3.054863929748535,0.0864298939704895,0.999999999952382,118.81632161140442,0.0779916048049926,1.0,32.9207980632782,1.6601738589956904e-10,0.0020978450775146,7
40,17,pyro_model,4.655225038528442,0.0864298939704895,0.9999999999521844,117.36006999015808,0.075743556022644,1.0,30.60503602027893,1.6792016116006876e-10,0.007840871810913,7
41,17,stan_model,1.2898521423339844,0.0864298939704895,0.9999999999532612,134.18828177452087,0.075743556022644,1.0,49.14800834655762,1.6410975090779858e-10,0.0059881210327148,7
42,18,pymc_model,3.1216392517089844,0.0655524283647537,0.999999999311906,4705.077718734741,0.0468498170375824,1.0,623.951446056366,8.692207662148203e-15,0.0197710990905761,10
43,18,pyro_model,5.470818042755127,0.066292256116867,0.9999999993327542,4581.211977005005,0.0445962399244308,1.0,678.2884521484375,8.803230044745519e-15,0.0078837871551513,10
44,18,stan_model,2.2636497020721436,0.0656791627407074,0.9999999993058984,4534.638257980347,0.0514946654438972,1.0,671.3465089797974,8.839636760118672e-15,0.0057580471038818,10
